Country,Skills,Value
Brazil,Pace,70
Brazil,Shooting,59
Brazil,Passing,62
Brazil,Dribbling,67
Brazil,Defending,52
Brazil,Physicality,67
England,Pace,68
England,Shooting,51
England,Passing,56
England,Dribbling,61
England,Defending,50
England,Physicality,64
France,Pace,68
France,Shooting,54
France,Passing,60
France,Dribbling,65
France,Defending,52
France,Physicality,65
Germany,Pace,68
Germany,Shooting,53
Germany,Passing,57
Germany,Dribbling,63
Germany,Defending,50
Germany,Physicality,65
Italy,Pace,68
Italy,Shooting,57
Italy,Passing,61
Italy,Dribbling,67
Italy,Defending,54
Italy,Physicality,65
Spain,Pace,67
Spain,Shooting,58
Spain,Passing,63
Spain,Dribbling,67
Spain,Defending,53
Spain,Physicality,65
